Year Period,Beach Clean Up_Number of Beach Clean Ups,Beach Clean Up_Total Number of Participants,Beach Clean Up_Number of Beach Warrior Volunteers,Beach Clean Up_Number of Student Participants ,Beach Clean Up_Number of Community Participants,Beach Clean Up_Number of RWA Participants,Beach Clean Up_Number of Government Representatives,Beach Clean Up_Number Local group volunteers,Beach Clean Up_Number of Academic Institutions,Beach Clean Up_Number of Residential Societies,Waste Management_Quantity of Marine Debris Collected (Kgs),"Waste Management_Quantity of Plastic (KGS)- Mix Plastic (Polythene, MLP, PVC, LDP)",Waste Management_Quantity of Cloth (KGS),"Waste Management_Quantity of Wood, Shoes, Bags and other materials (KGS)",Waste Management_Number of Plastic Bottles,Waste Management_Number of Nurdles,Community Awareness_Total Number of  Community Sessions,Community Awareness_Total  Participants of Volunteers,Community Awareness_Total Number of Communities Reached,Community Awareness_Total Number of Households Reached,Community Awareness_Total Number of Community People Reached,Awareness in Residential Socities_Total Number of Residential Society Sessions ,Awareness in Residential Socities_Total  Participants of Volunteers,Awareness in Residential Socities_Total Number of Societies Reached ,Awareness in Residential Socities_Total Number of Households Reached in Scoieties ,Awareness in Residential Socities_Total Number of People reached,Awareness in Residential Socities_Total Number of Sessions in Schools,Awareness in Residential Socities_Total Numbers of Schools Reached,Awareness in Residential Socities_Total Number of School Students Participants,Awareness in Residential Socities_Total Number of Teacher / Management  Participants,Awareness in Residential Socities_Total Number of Sessions in Colleges,Awareness in Residential Socities_Total Numbers of Colleges Reached,Awareness in Residential Socities_Total Number of College Students Participants,Awareness in Residential Socities_Total Number of Teacher / Management  Participants_1,Awareness in Residential Socities_Total Number of Sessions,Awareness in Residential Socities_Total  Participants of Volunteers_1,Awareness in Educational Institutions_Total people / students Reached,Awareness in Educational Institutions_Total Number of Academic Institutions,Awareness in Educational Institutions_Total Number of Participants,Awareness in Educational Institutions_Total Number of Entries,Awareness in Educational Institutions_Total Number of Households,Awareness in Educational Institutions_Total Number of Societies ,Awareness in Educational Institutions_Total  Number of Schools,Awareness in Educational Institutions_Total Number of School Students,Overall Awareness Impact_Total  Number of Colleges,Overall Awareness Impact_Total Number of College Students,Overall Awareness Impact_Total  Number of Participants,Overall Awareness Impact_Total Number of Commitment to Sustainable Living,location,client
17-18,49,9466,189,4389,2302,324,162,2100,7,4,14184,9219.6,2127.6,2836.8,169,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dadar,hcl
18-19,72,15012,362,8342,2301,983,231,2793,8,9,25730,16724.5,3859.5,5146,314,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dadar,hcl
19-20,76,15822,492,8932,2732,480,255,2931,17,18,38230,24849.5,5734.5,7646,552,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dadar,
20-21,60,7452,45,3843,1021,892,322,1329,6,12,260000,169000,39000,52000,32,37,2,65,2,405,1620,4,100,4,395,1580,0,0,0,0,11,11,614,43,12,120,1350,8,108,95,75,8,2,48,2,245,245,245,Dadar,
21-22,52,5437,528,2753,594,450,224,888,12,16,282800,183820,42420,56560,446,106,11,185,16,1565,6260,10,104,21,830,3320,0,0,0,0,11,11,614,43,12,120,1230,8,108,95,75,8,2,48,2,245,245,245,Dadar,khf
22-23,57,7060,57,5302,269,286,283,863,29,13,205100,133315,30765,41020,231,438,21,368,10,3997,15988,37,286,12,2944,11776,6,6,730,54,2,6,800,60,58,5956,27764,8,0,0,0,0,0,0,0,0,450,450,Dadar,
23-24,53,6298,288,3864,486,529,260,871,104,58,82900,53885,12435,16580,457,351,11,213,21,2085,1620,11,189,12,1490,1101,6,6,300,16,6,6,645,20,12,770,770,12,0,0,0,4,4,128,480,0,0,0,Dadar,
24-25,16,1567,39,1032,83,63,79,271,38,5,36785,23910.25,5517.75,7357,145,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dadar,khf
24-25 (Legrand),6,1144,0,0,0,0,0,0,0,0,19711,12812.15,2956.65,3942.2000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dadar,
19-20,12,1858,271,932,178,321,156,53,5,2,13430,8729.5,2014.5,2686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuff Parade,
18-19,18,8057,64,2831,3943,1009,210,2333,3,2,40932,26605.8,6139.8,8186.400000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chimbai Beach, Bandra",
19-20,50,8506,91,3210,4021,932,252,6210,5,4,48932,31805.8,7339.8,9786.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chimbai Beach, Bandra",hcl
17-18,6,850,23,479,128,133,24,63,4,0,296,192.4,44.4,59.2,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Worli Fort, Worli",
18-19,53,22312,298,13470,2210,2302,821,3211,4,2,15564,10116.6,2334.6,3112.8,373,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Worli Fort, Worli",
19-20,50,6074,195,3210,1121,189,260,1099,5,2,21092,13709.800000000001,3163.7999999999997,4218.400000000001,381,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Worli Fort, Worli",
18-19,23,2712,104,2121,53,26,115,293,1,1,6360,4134,954,1272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Madh, Malad",
19-20,52,4301,120,2913,136,145,264,723,2,2,13044,8478.6,1956.6,2608.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Madh, Malad",
18-19,26,3569,95,2919,64,72,120,299,2,1,6552,4258.8,982.8,1310.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Erangal, Malad",
19-20,52,4519,180,3291,153,162,260,473,5,2,14940,9711,2241,2988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Erangal, Malad",
19-20,9,3836,528,2234,453,369,246,923,10,2,38032,24720.8,5704.8,7606.400000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gorai, Bhayander",
22-23,52,7085,112,4329,219,230,163,2032,4,3,49056,31886.4,7358.4,9811.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prabhadevi Beach,khf
23-24,52,8358,108,5433,182,191,142,2302,4,2,435843,283297.95,65376.45,87168.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prabhadevi Beach,khf
24-25,53,7393,141,5320,293,243,193,1203,3,3,90237,58654.05,13535.55,18047.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prabhadevi Beach,
24-25 (Legrand),6,0,0,0,0,0,0,0,0,0,20490,13318.5,3073.5,4098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prabhadevi Beach,
24-25,29,1180,59,976,0,0,145,0,0,0,25574,16623.100000000002,3836.1,5114.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silver Beach,
24-25 (Legrand),6,731,0,0,0,0,0,0,0,0,13318,8656.7,1997.6999999999998,2663.6000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silver Beach,
18-19,52,3423,180,2103,495,202,231,212,3,4,56328,36613.200000000004,8449.199999999999,11265.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juhu Koliwada, Juhu",
19-20,52,3791,180,2430,463,241,243,234,4,3,58832,38240.8,8824.8,11766.400000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juhu Koliwada, Juhu",
20-21,52,3538,289,2101,442,276,221,209,5,2,59320,38558,8898,11864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juhu Koliwada, Juhu",
21-22,52,4404,289,2993,413,261,209,239,9,4,58212,37837.8,8731.8,11642.400000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juhu Koliwada, Juhu",
22-23,52,4341,230,2913,389,299,221,289,9,4,60010,39006.5,9001.5,12002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juhu Koliwada, Juhu",
23-24,52,3567,241,2303,294,238,260,231,8,4,51502,33476.3,7725.299999999999,10300.400000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juhu Koliwada, Juhu",
24-25,51,5215,191,3862,291,209,346,237,9,5,151435,98432.75,22715.25,30287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juhu Koliwada, Juhu",
24-25 (Legrand),6,412,0,0,0,0,0,0,0,0,8481,5512.650000000001,1272.1499999999999,1696.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juhu Koliwada, Juhu",
